Course Code,Institution,INSTITUTION,EOS,Mid,
GA783,Galway-Mayo Institute of Technology,Physics and Instrumentation,373,378,
LM063,University of Limerick,Technology Management,372,409,
DC155,Dublin City University,Applied Language and Translation Studies,371,430,
MH304,Maynooth University,Engineering (Computer/Electronic/Communications),371,423,
DC121,Dublin City University,Computer Applications,370,418,
GY128,"National University of Ireland, Galway",Arts (Global Languages),370,440,
DC293,Dublin City University,Arts (Joint Honours) - International Languages,369,400,
TL812,"Institute of Technology, Tralee",Computing with Digital Media,369,369,
DC216,Dublin City University,Mental Health Nursing,368,389,
LM082,University of Limerick,Construction Management and Engineering,368,404,
CK506,University College Cork (NUI),International Development and Food Policy,367,410,
DT110,Technological University Dublin City Campus,Property Economics (Valuation Surveying),367,424,
DN130,University College Dublin (NUI),City Planning and Environmental Policy,367,421,
CW568,"Institute of Technology, Carlow",Aerospace Engineering,366,422,
NC010,National College of Ireland (NCI),Psychology,366,399,
MI007,Mary Immaculate College,Early Childhood Care and Education,366,402,
GA791,Galway-Mayo Institute of Technology,Public Health Nutrition,364,397,
MH306,Maynooth University,Robotics and Intelligent Devices,361,424,
WD117,Waterford Institute of Technology,Psychiatric Nursing,361,382,
CR333,Cork Institute of Technology,Nutrition and Health Science,360,393,
LC292,Limerick Institute of Technology,Social Care Work,360,389,
CK730,University College Cork (NUI),Intellectual Disability Nursing,359,388,
DC238,Dublin City University,Social Sciences and Cultural Innovation,358,388,
TR095,Trinity College Dublin,Mental Health Nursing,358,377,
LM095,University of Limerick,Materials and Engineering Technology with concurrent Teacher Education,358,409,
MH305,Maynooth University,Product Design,358,411,
MH411,Maynooth University,Entrepreneurship,358,388,
DC118,Dublin City University,Gnó agus Gaeilge / Business and Irish,357,399,
DT235,Technological University Dublin City Campus,Physics with Medical Physics and Bioengineering,357,403,
GY123,"National University of Ireland, Galway",BSc (Applied Social Sciences),357,388,
MH405,Maynooth University,Equine Business,357,398,
MH602,Maynooth University,Computer Science through Science (options),357,413,
SG443,"Institute of Technology, Sligo",Human Nutrition,357,419,
DC292,Dublin City University,Arts (Joint Honours) - Law,356,388,
DT117,Technological University Dublin City Campus,Construction Management,356,373,
DT413,Technological University Dublin City Campus,Event Management,356,389,
DK874,Dundalk Institute of Technology,Mental Health Nursing,356,378,
GY121,"National University of Ireland, Galway",Arts (Children's Studies),356,389,
CK122,University College Cork (NUI),Government and Political Science,355,410,
DT555,Technological University Dublin City Campus,International Business and Languages,353,399,
DN120,University College Dublin (NUI),Landscape Architecture,353,403,
AL836,Athlone Institute of Technology,Nutrition and Health Science,352,383,
DC011,Dublin City University,Post Primary Teacher Education - Religious Education and History,352,389,
LM121,University of Limerick,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),352,420,
MH401,Maynooth University,Finance (options),352,392,
AL837,Athlone Institute of Technology,Sports Science with Exercise Physiology,351,392,
CR106,Cork Institute of Technology,Software Development,351,393,
DC120,Dublin City University,Enterprise Computing,350,389,
GA790,Galway-Mayo Institute of Technology,Sport and Exercise Science,350,379,
LM040,University of Limerick,European Studies,350,462,
MH201,Maynooth University,Science,350,392,
DC291,Dublin City University,Arts (Joint Honours) - Media Studies,349,392,
DL825,"Dun Laoghaire Institute of Art, Design and Technology",Applied Psychology,349,413,
CW478,"Institute of Technology, Carlow",Civil Engineering,348,383,
DC295,Dublin City University,Arts (Joint Honours) - Politics,348,387,
DT221,Technological University Dublin City Campus,Physics with Energy and Environment,348,436,
DN530,University College Dublin (NUI),Humanities (options),348,411,
DN541,University College Dublin (NUI),Modern Languages (options),348,412,
CK109,University College Cork (NUI),English - 3 years or 4 years (International Pathway),347,423,
DC009,Dublin City University,Arts (Joint Honours) - Humanities,347,408,
DC217,Dublin City University,Intellectual Disability Nursing,347,362,
DT582,Technological University Dublin City Campus,Journalism,347,373,
TR022,Trinity College Dublin,Early and Modern Irish,347,407,
TR041,Trinity College Dublin,Religion,347,393,
MH801,Maynooth University,Early Childhood - Teaching and Learning (part-time),347,358,
SG445,"Institute of Technology, Sligo",Pharmaceutical Science with Drug Development,347,369,
TR097,Trinity College Dublin,Intellectual Disability Nursing,346,350,
GA684,Galway-Mayo Institute of Technology,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346,406,
GA882,Galway-Mayo Institute of Technology,Psychiatric Nursing - Mayo Campus,346,370,
LC613,Limerick Institute of Technology,Early Childhood Education & Care (Ennis),346,388,
MI001,Mary Immaculate College,Contemporary & Applied Theatre Studies,345,381,
CR580,Cork Institute of Technology,Electrical Engineering,344,374,
DT491,Technological University Dublin City Campus,Environmental Health,343,380,
CR590,Cork Institute of Technology,Electronic Engineering,342,411,
MH601,Maynooth University,Computer Science through Arts (options),342,369,
TL855,"Institute of Technology, Tralee",Pharmaceutical Science (Degree Award options),342,386,
CR109,Cork Institute of Technology,Structural Engineering,341,467,
DT203,Technological University Dublin City Campus,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341,403,
DT304,Technological University Dublin City Campus,E-Commerce in Retailing,341,388,
TA327,Technological University Dublin Tallaght Campus,Sports Science and Health,341,381,
GY131,"National University of Ireland, Galway",Arts (History and Globalisation Studies),340,431,
TR028,Trinity College Dublin,Ancient and Medieval History and Culture,339,451,
NC022,National College of Ireland (NCI),Accounting and Finance,338,376,
GY112,"National University of Ireland, Galway",Arts with Film Studies,338,370,
GY113,"National University of Ireland, Galway",Arts with Human Rights,338,409,
LM093,University of Limerick,Equine Science,338,381,
WD120,Waterford Institute of Technology,Intellectual Disability Nursing,338,359,
TR016,Trinity College Dublin,Deaf Studies,337,372,
LC320,Limerick Institute of Technology,Business,337,378,
AS051,St. Angela`s College,"Nutrition, Food and Business Management",337,399,
CR565,Cork Institute of Technology,Interior Architecture,336,390,
CM020,Marino Institute of Education,Early Childhood Education,336,363,
DN520,University College Dublin (NUI),Arts (Two Subjects),336,408,
GA680,Galway-Mayo Institute of Technology,Mechanical Engineering,336,389,
CR112,Cork Institute of Technology,Creative Digital Media,335,389,
LC239,Limerick Institute of Technology,Computer Networks and Systems Management,335,347,
LC265,Limerick Institute of Technology,Forensic and Pharmaceutical Sciences,335,368,
CR365,Cork Institute of Technology,Environmental Science and Sustainable Technology,334,362,
GA682,Galway-Mayo Institute of Technology,Biomedical Engineering,331,383,
TL848,"Institute of Technology, Tralee",Agricultural Science,331,362,
DN750,University College Dublin (NUI),Social Policy and Sociology,330,366,
GY107,"National University of Ireland, Galway",Na Dána (Gaeilge agus Léann an Aistriúcháin),330,397,
LM122,University of Limerick,Creative Media and Interaction Design (Digital Design/Music Media Tech),330,430,
AL805,Athlone Institute of Technology,Network Management and Cloud Infrastructure,329,442,
LM002,University of Limerick,Arts (offered in conjunction with Mary Immaculate College),329,388,
SG449,"Institute of Technology, Sligo",Medical Biotechnology,329,352,
AL840,Athlone Institute of Technology,Pharmaceutical Sciences,328,411,
DB516,Dublin Business School,Financial Services,328,336,
GY115,"National University of Ireland, Galway",Arts with Performing Arts Studies,328,367,
CW018,"Institute of Technology, Carlow","Business (options, Wexford)",327,349,
CW578,"Institute of Technology, Carlow",TV and Media Production,327,361,
GC305,Griffith College,International Hospitality Management (Limerick),327,327,
GA784,Galway-Mayo Institute of Technology,Science (Undenominated),327,377,
CR150,Cork Institute of Technology,Business Information Systems,326,371,
CK107,University College Cork (NUI),Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),326,388,
DB501,Dublin Business School,Computing (Cloud Computing),326,329,
DT517,Technological University Dublin City Campus,Languages and English Studies,326,419,
MI010,Mary Immaculate College,"Education, Business Studies and Religious Studies (Thurles Campus)",326,355,
MH107,Maynooth University,Social Science,326,349,
TL858,"Institute of Technology, Tralee",Veterinary Bioscience,326,369,
DT302,Technological University Dublin City Campus,Business Analytics,325,403,
GY125,"National University of Ireland, Galway",Arts (Digital Arts and Technology),324,379,
AL839,Athlone Institute of Technology,Microbiology,322,371,
DT354,Technological University Dublin City Campus,Business Computing,322,341,
DT222,Technological University Dublin City Campus,Physics Technology,321,371,
DT421,Technological University Dublin City Campus,Food Innovation,321,366,
LC372,Limerick Institute of Technology,Music Technology and Production,321,369,
LC375,Limerick Institute of Technology,Industrial Automation & Robotic Systems,321,368,
CR510,Cork Institute of Technology,Sustainable Energy Engineering,319,343,
LC612,Limerick Institute of Technology,Social Care Work (Ennis),319,338,
CR110,Cork Institute of Technology,Automotive Business Management and Technology,318,347,
CR116,Cork Institute of Technology,Computer Systems,318,381,
GY105,"National University of Ireland, Galway",Arts (History),318,358,
LY108,Letterkenny Institute of Technology,Business - Accounting,318,399,
CM010,Marino Institute of Education,Education Studies,317,373,
GA781,Galway-Mayo Institute of Technology,Applied Biology and Biopharmaceutical Science,317,376,
LC374,Limerick Institute of Technology,Renewable and Electrical Energy Engineering,317,368,
MH109,Maynooth University,Media Studies,317,377,
AS130,St. Angela`s College,Intellectual Disability Nursing,317,338,
CR400,Cork Institute of Technology,Accounting,316,389,
MH101,Maynooth University,Arts,316,369,
SG447,"Institute of Technology, Sligo",Health Science and Physical Activity,316,363,
DT205,Technological University Dublin City Campus,Mathematical Sciences,315,363,
AL855,Athlone Institute of Technology,Hospitality Management (with International placement),312,357,
DT106,Technological University Dublin City Campus,Planning and Environmental Management,312,337,
DT227,Technological University Dublin City Campus,Science with Nanotechnology,312,361,
TL844,"Institute of Technology, Tralee",Agricultural Engineering,311,368,
AL842,Athlone Institute of Technology,Bioveterinary Science,310,366,
AL843,Athlone Institute of Technology,Physical Activity and Health Science,310,330,
CW548,"Institute of Technology, Carlow",Mechanical Engineering,310,351,
TL811,"Institute of Technology, Tralee",Computing with Games Development,310,334,
TL851,"Institute of Technology, Tralee",Wildlife Biology (Degree Award options),310,362,
AL803,Athlone Institute of Technology,Software Design with Mobile Apps and Connected Devices,309,337,
AL860,Athlone Institute of Technology,Social Care Practice,309,338,
CW088,"Institute of Technology, Carlow",Visual Communications and Design (Wexford),309,345,
GA183,Galway-Mayo Institute of Technology,Business Information Systems,309,373,
GA284,Galway-Mayo Institute of Technology,Design,309,377,
GY120,"National University of Ireland, Galway","Arts (Child, Youth and Family: Policy and Practice)",309,346,
SG347,"Institute of Technology, Sligo",Architecture,309,357,
TL810,"Institute of Technology, Tralee",Computing with Software Development,309,341,
DT405,Technological University Dublin City Campus,Culinary Science,308,377,
GY122,"National University of Ireland, Galway",Na Dána (Cumarsáid agus Gaeilge) ,308,399,
LC223,Limerick Institute of Technology,Law and Taxation,308,372,
LC376,Limerick Institute of Technology,Electronic Engineering,308,346,
SG247,"Institute of Technology, Sligo",English and Psychology,308,336,
SG444,"Institute of Technology, Sligo",Science (Undenominated),308,369,
TL815,"Institute of Technology, Tralee",Computing (Degree Award options),308,378,
TL881,"Institute of Technology, Tralee",Social Care,308,356,
AL810,Athlone Institute of Technology,Quantity Surveying,307,349,
AL850,Athlone Institute of Technology,Business,307,356,
AL864,Athlone Institute of Technology,Early Years Care and Education,307,348,
CW248,"Institute of Technology, Carlow",Information Technology Management,307,357,
CK118,University College Cork (NUI),Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),307,361,
DC235,Dublin City University,Education and Training - Daytime Delivery Mode (full-time),307,327,
DT518,Technological University Dublin City Campus,Languages and International Tourism,307,357,
GC301,Griffith College,Accounting and Finance,307,314,
DK820,Dundalk Institute of Technology,Computing in Games Development,307,369,
GA184,Galway-Mayo Institute of Technology,Marketing and Sales,307,348,
GA185,Galway-Mayo Institute of Technology,Finance and Economics,307,398,
GA782,Galway-Mayo Institute of Technology,Chemical and Pharmaceutical Science,307,346,
LY518,Letterkenny Institute of Technology,Quantity Surveying,307,368,
LY618,Letterkenny Institute of Technology,Electronics and Embedded Systems,307,339,
LC248,Limerick Institute of Technology,Built Environment (Common Entry),307,350,
LC288,Limerick Institute of Technology,Mechanical Engineering,307,360,
SG146,"Institute of Technology, Sligo",Accounting,307,347,
TL831,"Institute of Technology, Tralee",Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),307,372,
TL880,"Institute of Technology, Tralee",Early Childhood Care and Education,307,347,
WD084,Waterford Institute of Technology,Accounting,307,403,
DK810,Dundalk Institute of Technology,Accounting and Finance,306,391,
SG448,"Institute of Technology, Sligo",Forensic Investigation and Analysis,306,348,
TL802,"Institute of Technology, Tralee","TV, Radio and New Media",306,356,
AL853,Athlone Institute of Technology,Accounting and Law,305,320,
DK876,Dundalk Institute of Technology,Early Childhood Studies,305,359,
AL801,Athlone Institute of Technology,Software Design with Virtual Reality and Gaming,304,328,
LY608,Letterkenny Institute of Technology,Mechanical Engineering,304,333,
DN271,University College Dublin (NUI),Forestry,303,361,
DK843,Dundalk Institute of Technology,Engineering (Common Entry),303,402,
DK882,Dundalk Institute of Technology,Agriculture (Award options),303,358,
GA181,Galway-Mayo Institute of Technology,Accounting,303,378,
SG251,"Institute of Technology, Sligo",Computing (Smart Technologies),303,391,
TL871,"Institute of Technology, Tralee",Health and Leisure (Degree Award options),303,346,
AL838,Athlone Institute of Technology,Biotechnology,302,372,
DK830,Dundalk Institute of Technology,Building Surveying,302,349,
LY818,Letterkenny Institute of Technology,Science (Common Entry),302,371,
WD002,Waterford Institute of Technology,Science (options),302,377,
AL802,Athlone Institute of Technology,Software Design with Cloud Computing,301,306,
AL851,Athlone Institute of Technology,Business and Law,301,341,
CW948,"Institute of Technology, Carlow",Accounting,301,408,
DT343,Technological University Dublin City Campus,Retail and Services Management,301,332,
DK821,Dundalk Institute of Technology,Computing in Software Development,301,347,
DK831,Dundalk Institute of Technology,Architectural Technology,301,366,
DK865,Dundalk Institute of Technology,Audio and Music Production,301,346,
GA580,Galway-Mayo Institute of Technology,Software and Electronic Engineering,301,351,
GA683,Galway-Mayo Institute of Technology,Agricultural Engineering,301,365,
AL820,Athlone Institute of Technology,Mechanical and Polymer Engineering,300,358,
AL857,Athlone Institute of Technology,Digital Marketing,300,360,
CW238,"Institute of Technology, Carlow",Software Development,300,343,
CW258,"Institute of Technology, Carlow",Cybercrime and IT Security,300,328,
CR425,Cork Institute of Technology,International Business with Language,300,392,
CK101,University College Cork (NUI),Arts - 3 years,300,368,
DT220,Technological University Dublin City Campus,Industrial Mathematics,300,317,
DT358,Technological University Dublin City Campus,Logistics and Supply Chain Management,300,359,
DT401,Technological University Dublin City Campus,International Hospitality Management,300,337,
BN107,Technological University Dublin Blanchardstown Campus,Applied Social Studies in Social Care,300,328,
TA326,Technological University Dublin Tallaght Campus,DNA and Forensic Analysis,300,362,
AD215,National College of Art and Design,Visual Culture,300,338,
DK816,Dundalk Institute of Technology,Business Studies,300,357,
DK832,Dundalk Institute of Technology,Construction Management,300,329,
DK861,Dundalk Institute of Technology,Arts,300,358,
DK862,Dundalk Institute of Technology,Social Care,300,338,
DK863,Dundalk Institute of Technology,Creative Media,300,376,
DK864,Dundalk Institute of Technology,Film and Television Production,300,332,
DK872,Dundalk Institute of Technology,Intellectual Disability Nursing,300,317,
DK880,Dundalk Institute of Technology,Health and Physical Activity,300,367,
DK883,Dundalk Institute of Technology,Science (Award options),300,369,
GA780,Galway-Mayo Institute of Technology,Applied Freshwater and Marine Biology,300,360,
GA786,Galway-Mayo Institute of Technology,Forensic Science and Analysis,300,366,
GY101,"National University of Ireland, Galway",Arts (Joint-Honours),300,374,
LY208,Letterkenny Institute of Technology,Law,300,359,
LY708,Letterkenny Institute of Technology,Applied Computing,300,348,
LY828,Letterkenny Institute of Technology,Agriculture (Common Entry),300,342,
LY968,Letterkenny Institute of Technology,"Early Childhood Care, Health and Education",300,336,
MI002,Mary Immaculate College,Arts (offered in conjunction with the University of Limerick),300,378,
LC233,Limerick Institute of Technology,Software Development,300,371,
SG252,"Institute of Technology, Sligo",Software Development,300,354,
TL845,"Institute of Technology, Tralee",Civil Engineering,300,364,
LC224,Limerick Institute of Technology,Accounting and Finance,299,382,
LC293,Limerick Institute of Technology,Business Studies with Travel and Tourism Management,299,326,
CW708,"Institute of Technology, Carlow",Law - LLB,298,328,
LY218,Letterkenny Institute of Technology,Business - with Spanish/Irish options,298,367,
LC225,Limerick Institute of Technology,Marketing and Management,298,337,
LC236,Limerick Institute of Technology,Internet Systems Development,298,319,
LC330,Limerick Institute of Technology,Business with Computing,298,326,
LC340,Limerick Institute of Technology,Interior Design,298,349,
LC371,Limerick Institute of Technology,Creative Broadcast and Film Production,298,339,
LC401,Limerick Institute of Technology,Early Childhood Education & Care (Thurles),298,387,
WD147,Waterford Institute of Technology,Pharmaceutical Science,298,363,
BN123,Technological University Dublin Blanchardstown Campus,"Design,Technology and Innovation",297,318,
NC005,National College of Ireland (NCI),Human Resource Management,297,320,
NC009,National College of Ireland (NCI),Business,297,339,
NC025,National College of Ireland (NCI),Data Science,297,371,
GA186,Galway-Mayo Institute of Technology,Business with Entrepreneurship,297,328,
GA789,Galway-Mayo Institute of Technology,Agriculture and Environmental Management (Mountbellew Campus),297,339,
SG243,"Institute of Technology, Sligo",Social Care Practice,297,338,
SG441,"Institute of Technology, Sligo",Environmental Science,297,358,
SG246,"Institute of Technology, Sligo",Computing,295,368,
DT035,Technological University Dublin City Campus,Electrical Services and Energy Management,293,340,
LC242,Limerick Institute of Technology,Property Valuation and Management,292,328,
MU002,"Pontifical University, St Patrick\'s College",Theology,292,377,
CR360,Cork Institute of Technology,Instrument Engineering,291,329,
TL823,"Institute of Technology, Tralee",Event Management (3 year programme),291,346,
AL852,Athlone Institute of Technology,Accounting (with optional placement),290,346,
CW758,"Institute of Technology, Carlow",Applied Social Studies - Professional Social Care,290,319,
DL837,"Dun Laoghaire Institute of Art, Design and Technology",New Media Studies,290,349,
BN118,Technological University Dublin Blanchardstown Campus,Early Childhood Care and Education,290,320,
GA182,Galway-Mayo Institute of Technology,Business,290,347,
MU001,"Pontifical University, St Patrick\'s College",Theology and Arts,290,318,
SG250,"Institute of Technology, Sligo",Application Design and User Experience,290,431,
WD140,Waterford Institute of Technology,Laws,290,352,
WD193,Waterford Institute of Technology,Marketing and Digital Media,290,358,
BN113,Technological University Dublin Blanchardstown Campus,Horticulture,289,321,
SG346,"Institute of Technology, Sligo",Construction Project Management and Applied Technology,289,351,
SG442,"Institute of Technology, Sligo",Occupational Safety and Health,289,330,
SG446,"Institute of Technology, Sligo",Applied Archaeology,289,290,
WD134,Waterford Institute of Technology,International Business,289,350,
CR340,Cork Institute of Technology,Analytical Chemistry with Quality Assurance,288,315,
CR420,Cork Institute of Technology,Marketing,288,329,
CR560,Cork Institute of Technology,Architectural Technology,288,332,
LY928,Letterkenny Institute of Technology,Intellectual Disability Nursing,288,299,
LC275,Limerick Institute of Technology,Electrical Engineering,288,340,
LC422,Limerick Institute of Technology,Sports Strength and Conditioning (Thurles),288,333,
TL872,"Institute of Technology, Tralee",Health and Leisure with Massage,288,357,
WD005,Waterford Institute of Technology,Health Sciences (options),288,347,
WD149,Waterford Institute of Technology,Early Childhood Studies,288,336,
DT112,Technological University Dublin City Campus,Geographic Science,287,335,
GA281,Galway-Mayo Institute of Technology,Film and Documentary,287,360,
LY118,Letterkenny Institute of Technology,Business,287,352,
WD007,Waterford Institute of Technology,Engineering (options),287,382,
CW728,"Institute of Technology, Carlow",Product Design Innovation,286,355,
ID002,ICD Business School,Business Studies,285,366,
DB525,Dublin Business School,Marketing (Digital Media and Cloud Computing),284,309,
DT412,Technological University Dublin City Campus,Tourism Marketing,284,322,
WD144,Waterford Institute of Technology,Architecture,283,385,
CR310,Cork Institute of Technology,IT Management,282,317,
LC263,Limerick Institute of Technology,Clinical Technology,282,359,
LC380,Limerick Institute of Technology,Automotive Engineering and Transport Management,282,329,
SG248,"Institute of Technology, Sligo",Sociology and Politics,282,320,
TL873,"Institute of Technology, Tralee",Coaching and Sports Performance,282,336,
WD006,Waterford Institute of Technology,Exercise Sciences (options),282,337,
CW208,"Institute of Technology, Carlow",Computer Games Development,281,338,
BN120,Technological University Dublin Blanchardstown Campus,Digital Forensics and Cyber Security,281,326,
GA681,Galway-Mayo Institute of Technology,Energy Engineering,281,328,
LC243,Limerick Institute of Technology,Quantity Surveying,281,360,
LC252,Limerick Institute of Technology,Civil Engineering Management,281,331,
TL801,"Institute of Technology, Tralee",Animation Visual Effects and Motion Design,281,341,
DT597,Technological University Dublin City Campus,Creative and Cultural Industries,280,369,
BN112,Technological University Dublin Blanchardstown Campus,Creative Digital Media,280,329,
BN114,Technological University Dublin Blanchardstown Campus,Accounting and Finance,280,332,
GA187,Galway-Mayo Institute of Technology,Rural Enterprise and Agri-Business (Mountbellew Campus),280,367,
GA482,Galway-Mayo Institute of Technology,Quantity Surveying and Construction Economics,280,340,
LC289,Limerick Institute of Technology,Precision Engineering,280,369,
SG144,"Institute of Technology, Sligo",Business in International Marketing and Sales with Spanish,280,388,
CW558,"Institute of Technology, Carlow",Electronic Systems,279,338,
CW848,"Institute of Technology, Carlow",Digital Marketing with Analytics,279,307,
CR305,Cork Institute of Technology,Physical Sciences (Common Entry),279,309,
CR570,Cork Institute of Technology,Quantity Surveying,279,342,
DB569,Dublin Business School,Business (Psychology),279,338,
DT028,Technological University Dublin City Campus,Transport Operations and Technology,279,348,
SG241,"Institute of Technology, Sligo",Performing Arts,279,348,
SG249,"Institute of Technology, Sligo",Writing and Literature,279,338,
WD001,Waterford Institute of Technology,Applied Computing (options),279,358,
WD192,Waterford Institute of Technology,Social Care Practice,279,323,
GA890,Galway-Mayo Institute of Technology,Early Childhood Care and Education - Mayo Campus,278,319,
LY228,Letterkenny Institute of Technology,Sports and Exercise (Common Entry),278,330,
LC434,Limerick Institute of Technology,Environmental Management in Agriculture (Thurles),278,347,
SG242,"Institute of Technology, Sligo",Early Childhood Care and Education,278,318,
WD048,Waterford Institute of Technology,Business (options),278,357,
BN121,Technological University Dublin Blanchardstown Campus,Mechatronic Engineering,276,340,
CI101,Irish College of Humanities & Applied Sciences,Counselling and Psychotherapy (Limerick),276,328,
LC241,Limerick Institute of Technology,Construction Management,276,303,
WD186,Waterford Institute of Technology,Sports Coaching and Performance,276,327,
DT416,Technological University Dublin City Campus,Culinary Entrepreneurship,275,339,
GA787,Galway-Mayo Institute of Technology,Computing in Software Development,275,327,
WD211,Waterford Institute of Technology,Creative Computing,275,322,
CW268,"Institute of Technology, Carlow",Computing in Interactive Digital Art and Design,274,321,
WD212,Waterford Institute of Technology,Recreation and Sport Management,274,311,
BN117,Technological University Dublin Blanchardstown Campus,Computer Engineering in Mobile Systems,273,311,
SG253,"Institute of Technology, Sligo",Computer Networks and Cloud Infrastructure,273,341,
WD230,Waterford Institute of Technology,Mechanical and Manufacturing Engineering,273,348,
CW128,"Institute of Technology, Carlow",Brewing and Distilling,271,298,
CW438,"Institute of Technology, Carlow",Construction (options),271,308,
DT407,Technological University Dublin City Campus,Culinary Arts,271,342,
BN108,Technological University Dublin Blanchardstown Campus,Engineering (Common Entry with Award options),271,318,
GA981,Galway-Mayo Institute of Technology,Furniture Design and Manufacture - Letterfrack Campus,271,350,
LC294,Limerick Institute of Technology,Business Studies with Event Management,271,300,
LC418,Limerick Institute of Technology,Computing - Games Design and Development (Thurles),271,318,
WD150,Waterford Institute of Technology,Criminal Justice Studies,271,311,
WD187,Waterford Institute of Technology,Social Science,271,321,
WD210,Waterford Institute of Technology,Software Systems Development,271,329,
CW938,"Institute of Technology, Carlow",Business with Law,270,288,
BN111,Technological University Dublin Blanchardstown Campus,Sports Management and Coaching,270,298,
BN119,Technological University Dublin Blanchardstown Campus,Digital Marketing,270,308,
NC020,National College of Ireland (NCI),Marketing Practice,270,307,
GA484,Galway-Mayo Institute of Technology,Civil Engineering,270,362,
GA788,Galway-Mayo Institute of Technology,Computing and Digital Media,270,327,
GA982,Galway-Mayo Institute of Technology,Furniture and Wood Technology - Letterfrack Campus,270,352,
LY508,Letterkenny Institute of Technology,Fire Safety Engineering,270,299,
SG142,"Institute of Technology, Sligo",Business in International Marketing and Sales with French,270,388,
DB502,Dublin Business School,Computing (Data Analytics and Big Data),269,269,
DB514,Dublin Business School,Business Studies (Law),269,337,
GC200,Griffith College,Business Studies (Cork),269,359,
GC302,Griffith College,"Business Studies - (HRM, Limerick)",269,269,
SG147,"Institute of Technology, Sligo",Sport with Business,269,316,
WD025,Waterford Institute of Technology,Construction Management and Engineering,269,327,
WD148,Waterford Institute of Technology,Tourism Marketing,269,338,
LY528,Letterkenny Institute of Technology,Construction Management,267,291,
CW078,"Institute of Technology, Carlow",Sustainable Farm Management and Agribusiness (Wexford),266,320,
WD195,Waterford Institute of Technology,Architectural and Building Information Modelling Technology,266,305,
CW748,"Institute of Technology, Carlow",Early Childhood Education and Care,265,338,
TL803,"Institute of Technology, Tralee",Music Technology,264,288,
LC295,Limerick Institute of Technology,Business Studies with Sports Management,263,298,
LC408,Limerick Institute of Technology,Environmental and Geographical Sciences (Thurles),262,346,
SG149,"Institute of Technology, Sligo",Business in Finance and Investment,262,357,
WD161,Waterford Institute of Technology,Computer Forensics and Security,262,401,
CW108,"Institute of Technology, Carlow",Science (options),261,326,
TA025,Technological University Dublin Tallaght Campus,Social Care Practice,261,297,
TA321,Technological University Dublin Tallaght Campus,Pharmaceutical Science,261,298,
NC003,National College of Ireland (NCI),Computing (Degree Award options),261,316,
GA381,Galway-Mayo Institute of Technology,International Tourism Management,261,290,
SG245,"Institute of Technology, Sligo",Creative Design,261,338,
SG343,"Institute of Technology, Sligo",Quantity Surveying,261,302,
CW908,"Institute of Technology, Carlow",Business (options),260,307,
DL823,"Dun Laoghaire Institute of Art, Design and Technology",Business Studies - Entrepreneurship and Management,260,316,
BN104,Technological University Dublin Blanchardstown Campus,Computing (Information Technology),260,293,
BN109,Technological University Dublin Blanchardstown Campus,Business (Common Entry with Award options),260,279,
TA022,Technological University Dublin Tallaght Campus,Creative Digital Media,260,318,
NC023,National College of Ireland (NCI),Technology Management (with specialisations),260,303,
GA283,Galway-Mayo Institute of Technology,Contemporary Art,260,340,
GA480,Galway-Mayo Institute of Technology,Construction Management,260,312,
GA889,Galway-Mayo Institute of Technology,Applied Social Care - Mayo Campus,260,297,
LY978,Letterkenny Institute of Technology,Health & Social Care (Common Entry),260,299,
LC393,Limerick Institute of Technology,Early Childhood Education & Care,260,309,
WD162,Waterford Institute of Technology,Quantity Surveying,260,320,
GC405,Griffith College,International Hospitality Management (Dublin),254,272,
BN103,Technological University Dublin Blanchardstown Campus,Business and Information Technology,254,290,
LC220,Limerick Institute of Technology,Digital Marketing,254,288,
CR572,Cork Institute of Technology,Construction Management,253,300,
DB526,Dublin Business School,Business Information Systems (Cloud Computing),253,288,
BN110,Technological University Dublin Blanchardstown Campus,International Business,253,308,
WD137,Waterford Institute of Technology,Design (Visual Communications),253,373,
WD152,Waterford Institute of Technology,Visual Art,253,323,
CW028,"Institute of Technology, Carlow",Early Childhood Education and Care (Wexford),252,308,
CW058,"Institute of Technology, Carlow",Tourism and Event Management (Wexford),252,262,
CW468,"Institute of Technology, Carlow",Architectural Technology,252,290,
AC137,American College,Liberal Arts,252,275,
DT596,Technological University Dublin City Campus,Print Media Technology and Management,252,311,
BN101,Technological University Dublin Blanchardstown Campus,Business,252,289,
DN272,University College Dublin (NUI),"Horticulture, Landscape and Sportsturf Management",252,312,
SG141,"Institute of Technology, Sligo",Business,252,317,
CW068,"Institute of Technology, Carlow",Applied Social Studies - Professional Social Care (Wexford),251,280,
PC405,"Carlow College, St. Patrick`s","Social, Political and Community Studies",251,296,
GC201,Griffith College,Accounting and Finance (Cork),251,388,
GC300,Griffith College,Business Studies (Limerick),251,302,
TA221,Technological University Dublin Tallaght Campus,Electronic Engineering,251,321,
GA483,Galway-Mayo Institute of Technology,Architectural Technology,251,321,
BN115,Technological University Dublin Blanchardstown Campus,Community and Youth Development,250,298,
CR660,Cork Institute of Technology,Tourism Management,249,290,
