Course Code,Institution,INSTITUTION,EOS,Mid
TL871,"Institute of Technology, Tralee",Health and Leisure (Degree Award options),303,346
TL872,"Institute of Technology, Tralee",Health and Leisure with Massage,288,357
TL873,"Institute of Technology, Tralee",Coaching and Sports Performance,282,336
TL880,"Institute of Technology, Tralee",Early Childhood Care and Education,307,347
TL881,"Institute of Technology, Tralee",Social Care,308,356
TL889,"Institute of Technology, Tralee",Counselling with Addiction - Mature applicants only,#,
TL890,"Institute of Technology, Tralee",General Nursing and Mature Applicants,407,431
TL891,"Institute of Technology, Tralee",Mental Health Nursing and Mature Applicants,367*,379
WD001,Waterford Institute of Technology,Applied Computing (options),279,358
WD002,Waterford Institute of Technology,Science (options),302,377
WD005,Waterford Institute of Technology,Health Sciences (options),288,347
WD006,Waterford Institute of Technology,Exercise Sciences (options),282,337
WD007,Waterford Institute of Technology,Engineering (options),287,382
WD025,Waterford Institute of Technology,Construction Management and Engineering,269,327
WD027,Waterford Institute of Technology,Music,#290,317
WD048,Waterford Institute of Technology,Business (options),278,357
WD084,Waterford Institute of Technology,Accounting,307,403
WD091,Waterford Institute of Technology,Hospitality Management,210,281
WD116,Waterford Institute of Technology,General Nursing,413,430
WD117,Waterford Institute of Technology,Psychiatric Nursing,361,382
WD120,Waterford Institute of Technology,Intellectual Disability Nursing,338,359
WD134,Waterford Institute of Technology,International Business,289,350
WD137,Waterford Institute of Technology,Design (Visual Communications),253,373
WD140,Waterford Institute of Technology,Laws,290,352
WD144,Waterford Institute of Technology,Architecture,283,385
WD147,Waterford Institute of Technology,Pharmaceutical Science,298,363
WD148,Waterford Institute of Technology,Tourism Marketing,269,338
WD149,Waterford Institute of Technology,Early Childhood Studies,288,336
WD150,Waterford Institute of Technology,Criminal Justice Studies,271,311
WD152,Waterford Institute of Technology,Visual Art,253,323
WD161,Waterford Institute of Technology,Computer Forensics and Security,262,401
WD162,Waterford Institute of Technology,Quantity Surveying,260,320
WD163,Waterford Institute of Technology,Psychology,390,429
WD186,Waterford Institute of Technology,Sports Coaching and Performance,276,327
WD187,Waterford Institute of Technology,Social Science,271,321
WD191,Waterford Institute of Technology,Agricultural Science,378,421
WD192,Waterford Institute of Technology,Social Care Practice,279,323
WD193,Waterford Institute of Technology,Marketing and Digital Media,290,358
WD194,Waterford Institute of Technology,Culinary Arts,235,331
WD195,Waterford Institute of Technology,Architectural and Building Information Modelling Technology,266,305
WD200,Waterford Institute of Technology,Arts (options),221,296
WD210,Waterford Institute of Technology,Software Systems Development,271,329
WD211,Waterford Institute of Technology,Creative Computing,275,322
WD212,Waterford Institute of Technology,Recreation and Sport Management,274,311
WD230,Waterford Institute of Technology,Mechanical and Manufacturing Engineering,273,348
